x,y
0,1
0.01,1.00985
0.02,1.01943
0.03,1.02874
0.04,1.0378
0.05,1.04664
0.06,1.05525
0.07,1.06366
0.08,1.07187
0.09,1.0799
0.1,1.08776
0.11,1.09545
0.12,1.10297
0.13,1.11035
0.14,1.11759
0.15,1.12468
0.16,1.13165
0.17,1.13849
0.18,1.1452
0.19,1.1518
0.2,1.15829
0.21,1.16467
0.22,1.17095
0.23,1.17713
0.24,1.18322
0.25,1.18921
0.26,1.19511
0.27,1.20092
0.28,1.20666
0.29,1.21231
0.3,1.21788
0.31,1.22338
0.32,1.22881
0.33,1.23416
0.34,1.23945
0.35,1.24467
0.36,1.24982
0.37,1.25491
0.38,1.25994
0.39,1.26491
0.4,1.26982
0.41,1.27468
0.42,1.27948
0.43,1.28423
0.44,1.28892
0.45,1.29357
0.46,1.29816
0.47,1.30271
0.48,1.30721
0.49,1.31166
0.5,1.31607
0.51,1.32044
0.52,1.32476
0.53,1.32904
0.54,1.33328
0.55,1.33748
0.56,1.34164
0.57,1.34576
0.58,1.34985
0.59,1.35389
0.6,1.35791
0.61,1.36188
0.62,1.36582
0.63,1.36973
0.64,1.37361
0.65,1.37745
0.66,1.38126
0.67,1.38504
0.68,1.38879
0.69,1.39251
0.7,1.39619
0.71,1.39985
0.72,1.40349
0.73,1.40709
0.74,1.41066
0.75,1.41421
0.76,1.41774
0.77,1.42123
0.78,1.4247
0.79,1.42815
0.8,1.43157
0.81,1.43497
0.82,1.43834
0.83,1.44169
0.84,1.44501
0.85,1.44832
0.86,1.4516
0.87,1.45485
0.88,1.45809
0.89,1.46131
0.9,1.4645
0.91,1.46767
0.92,1.47083
0.93,1.47396
0.94,1.47707
0.95,1.48017
0.96,1.48324
0.97,1.48629
0.98,1.48933
0.99,1.49235
1,1.49535
1.01,1.49833
1.02,1.50129
1.03,1.50424
1.04,1.50717
1.05,1.51008
1.06,1.51298
1.07,1.51586
1.08,1.51872
1.09,1.52157
1.1,1.5244
1.11,1.52721
1.12,1.53001
1.13,1.5328
1.14,1.53557
1.15,1.53832
1.16,1.54106
1.17,1.54379
1.18,1.5465
1.19,1.54919
1.2,1.55188
1.21,1.55454
1.22,1.5572
1.23,1.55984
1.24,1.56247
1.25,1.56508
1.26,1.56769
1.27,1.57028
1.28,1.57285
1.29,1.57542
1.3,1.57797
1.31,1.58051
1.32,1.58303
1.33,1.58555
1.34,1.58805
1.35,1.59054
1.36,1.59302
1.37,1.59549
1.38,1.59795
1.39,1.60039
1.4,1.60282
1.41,1.60525
1.42,1.60766
1.43,1.61006
1.44,1.61245
1.45,1.61483
1.46,1.6172
1.47,1.61956
1.48,1.62191
1.49,1.62425
1.5,1.62658
1.51,1.6289
1.52,1.6312
1.53,1.6335
1.54,1.63579
1.55,1.63807
1.56,1.64034
1.57,1.6426
1.58,1.64486
1.59,1.6471
1.6,1.64933
1.61,1.65156
1.62,1.65377
1.63,1.65598
1.64,1.65818
1.65,1.66036
1.66,1.66254
1.67,1.66472
1.68,1.66688
1.69,1.66903
1.7,1.67118
1.71,1.67332
1.72,1.67545
1.73,1.67757
1.74,1.67969
1.75,1.68179
1.76,1.68389
1.77,1.68598
1.78,1.68806
1.79,1.69014
1.8,1.69221
1.81,1.69427
1.82,1.69632
1.83,1.69836
1.84,1.7004
1.85,1.70243
1.86,1.70446
1.87,1.70647
1.88,1.70848
1.89,1.71048
1.9,1.71248
1.91,1.71446
1.92,1.71645
1.93,1.71842
1.94,1.72039
1.95,1.72235
1.96,1.7243
1.97,1.72625
1.98,1.72819
1.99,1.73012
2,1.73205
2.01,1.73397
2.02,1.73589
2.03,1.7378
2.04,1.7397
2.05,1.74159
2.06,1.74348
2.07,1.74537
2.08,1.74725
2.09,1.74912
2.1,1.75098
2.11,1.75284
2.12,1.7547
2.13,1.75654
2.14,1.75839
2.15,1.76022
2.16,1.76205
2.17,1.76388
2.18,1.7657
2.19,1.76751
2.2,1.76932
2.21,1.77112
2.22,1.77292
2.23,1.77471
2.24,1.7765
2.25,1.77828
2.26,1.78006
2.27,1.78183
2.28,1.78359
2.29,1.78535
2.3,1.7871
2.31,1.78885
2.32,1.7906
2.33,1.79234
2.34,1.79407
2.35,1.7958
2.36,1.79753
2.37,1.79925
2.38,1.80096
2.39,1.80267
2.4,1.80437
2.41,1.80607
2.42,1.80777
2.43,1.80946
2.44,1.81114
2.45,1.81283
2.46,1.8145
2.47,1.81617
2.48,1.81784
2.49,1.8195
2.5,1.82116
2.51,1.82281
2.52,1.82446
2.53,1.82611
2.54,1.82775
2.55,1.82938
2.56,1.83101
2.57,1.83264
2.58,1.83426
2.59,1.83588
2.6,1.8375
2.61,1.8391
2.62,1.84071
2.63,1.84231
2.64,1.84391
2.65,1.8455
2.66,1.84709
2.67,1.84868
2.68,1.85026
2.69,1.85183
2.7,1.85341
2.71,1.85497
2.72,1.85654
2.73,1.8581
2.74,1.85966
2.75,1.86121
2.76,1.86276
2.77,1.8643
2.78,1.86585
2.79,1.86738
2.8,1.86892
2.81,1.87045
2.82,1.87197
2.83,1.8735
2.84,1.87501
